areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Brownsville,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,,,,,,1425,1450,1450,1450,1450,1450,1400,1500,1400,1295,1400,,1225,1325,1350,1300,1300,1350,1375,1400,1350,1350,1500,1400,1300,1300,1355,1400,1500,1500,1500,1500,1600,1599,1500,1613,1600,1600,1608,1600,1500,1700,1650,1695,1695,1650,1650,1700,1750,1750,1700,1800,1750,1800,1800,1700,1700,1795,1750,1698,1700,1725,1800,1750,1795,1800,1850,1850,1875,1950,1925,1950,2100,2100,2100,1950,2100,2325,1997,1900,2050,2000,1973,2000,2000,1987,2000,1843,1868,1888,1950,2333,2314,1915,2200,2200,2000,1850,1995,1900,1900,1900,2100,2050,2054,2000,2000,1987,1860,1949,2100,2000,2125,2199,2173,2100,2148,2100,2199,2200,2200,2500,2200,2313,2500,2395,2200,2325,2400,2450,2500,2200,2265,2498,2525,2400,2500,2200,2200,2575,2800,2800,2795,2795,2700,2695
Bushwick,Brooklyn,neighborhood,1599,1475,1500,1875,1950,1525,1500,1500,1500,1500,1425,1500,1695,1695,1695,1700,1700,1600,1900,1925,1500,1725,1800,1775,1713,1738,1800,1858,1840,2000,2025,2000,2150,2025,2000,2099,2100,2150,2200,2400,2300,2100,2200,2400,2400,2400,2399,2325,2281,2267,2317,2400,2450,2499,2475,2500,2500,2400,2400,2385,2400,2499,2500,2500,2548,2550,2595,2600,2650,2600,2500,2495,2500,2650,2600,2595,2600,2658,2600,2600,2600,2500,2500,2484,2445,2450,2499,2550,2599,2600,2650,2650,2600,2500,2495,2450,2450,2492,2499,2550,2619,2699,2700,2695,2600,2571,2500,2470,2500,2549,2590,2650,2650,2625,2750,2800,2799,2799,2749,2650,2781,2800,2750,2650,2600,2571,2595,2500,2475,2399,2396,2350,2358,2399,2399,2400,2450,2500,2650,2800,2806,2800,2800,2800,2900,3000,3050,3150,3250,3300,3400,3450,3400,3200,3100,3100,3100,3200,3200,3250,3350,3350,3400,3400,3315,3300,3199,3099,3200,3300,3300,3400,3400,3495,3499,3499,3450,3350,3300,3238,3299,3350
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,1375,1400,1525,1450,,,,,,,,,,,,,,,,,,,,,,,1500,,1595,,,,,,,,1350,1400,1475,1350,,1800,1500,1800,1750,1500,1600,1700,1700,1800,1850,1850,1850,1850,1850,1800,1800,1800,1800,1799,1863,1800,1813,1800,1900,1838,1800,1825,2200,1850,1750,2025,2100,2100,2100,1825,1900,1900,1900,2075,2174,2100,2000,1999,2100,2200,2150,2250,2250,2250,2000,2000,2000,1990,2200,2000,2000,2100,2100,2100,1958,2100,2100,2100,2200,2200,2300,2299,2300,2200,2175,2200,2250,2300,2300,2177,2100,2250,2075,1950,1975,2195,2095,2050,2098,2200,2250,2399,2200,2200,2275,2350,2300,2250,2550,2350,2300,2400,2388,2300,2300,2400,2500,2600,2500,2600,2600,2450,2500,2500,2575,2450,2500,2600,2700,2900,2800,2795,2950,3000,2900,2995,2995,2888,2725,2700
Carroll Gardens,Brooklyn,neighborhood,2263,2200,2238,2175,2200,2200,2250,2200,2250,2250,2200,2250,2400,2250,2250,2400,2838,2675,2550,3000,3500,2900,2500,2600,2900,2800,3798,3675,3600,3439,2850,3725,3600,3500,3200,3000,3250,2900,3075,3300,2800,2900,2900,3300,2895,3000,3450,3350,2800,2800,2800,2800,2900,2800,2800,2875,3000,3000,3044,2850,2900,2800,2900,2950,2973,3000,3000,3000,3000,3000,3000,3000,3000,2900,2950,2995,3075,3000,3200,3000,3000,3100,3000,2900,3000,2800,2800,2850,2900,2900,2900,2913,2800,2950,2900,2900,2850,2900,2850,3000,3250,3063,3000,3000,3000,2990,2938,3200,3165,2900,2763,2875,2950,2999,3250,3425,3650,3500,3250,3300,3200,3400,3395,3300,3495,3050,3000,3000,2850,2750,2700,2500,2500,2500,2500,2600,2600,2825,2900,3250,3100,3175,4000,3500,3490,3500,3450,4100,4100,4000,4525,4425,4000,4400,4625,4650,4350,4900,4850,4800,4200,4198,4595,4725,4700,4500,4250,4400,4250,4000,4300,4500,4951,4850,4500,4525,4500,4500,4413,4400,4395,4275
Castle Hill,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479,1498,,,,,,,,1513,1300,,,1450,1450,,1525,1450,,1574,1475,1475,1475,1488,1625,1795,1496,1700,1650,1700,1495,1473,1525,1850,1900,1800,1800,1850,,,,1500,1600,1800,1750,1750,1799,,,,,1575,1850,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,,,,,,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Harlem,Manhattan,neighborhood,1950,1963,1895,1863,1900,1900,1850,1800,1850,1850,1800,1750,1798,1800,1895,1950,2000,2095,2098,2057,2000,1995,2100,2000,1995,2000,2000,2100,2095,1975,2200,2295,2200,2000,2100,2000,2000,2000,2100,2108,2150,2175,2200,2269,2290,2200,2200,2100,2100,2100,2000,2150,2200,2150,2200,2275,2300,2375,2350,2350,2350,2400,2390,2300,2300,2300,2300,2350,2300,2400,2340,2400,2400,2397,2400,2490,2450,2400,2460,2500,2500,2500,2500,2500,2495,2400,2350,2375,2400,2400,2498,2500,2475,2400,2395,2397,2400,2450,2500,2550,2500,2500,2550,2600,2500,2475,2425,2420,2468,2475,2499,2595,2650,2700,2667,2695,2600,2550,2563,2500,2500,2500,2500,2500,2600,2595,2550,2500,2400,2400,2400,2385,2300,2300,2300,2300,2350,2450,2452,2400,2473,2453,2424,2475,2500,2533,2594,2642,2700,2983,3050,2995,2850,2800,2900,2885,2895,2950,2999,3150,3000,3145,3120,3100,3000,2975,2995,3000,3000,3100,3100,3200,3200,3200,3200,3200,3195,3013,3000,3000,3000,3007
Central Park South,Manhattan,neighborhood,6000,6000,5950,6500,6200,5800,5575,6100,6500,6500,6500,6250,6500,6500,5600,5700,6500,4923,4625,4900,5800,5400,5700,5450,5200,6000,5500,6000,5000,5500,6125,6000,6400,6400,6900,6400,6650,7500,7500,7500,7375,7125,7850,7925,8225,7400,7250,7850,7850,7625,6475,6475,7450,6500,7500,7500,7500,7500,7500,7800,7500,7750,7575,7250,6998,6800,7250,7900,7900,7975,7900,7875,7900,7363,7488,7825,7500,7400,7488,7000,7500,7378,7378,7500,7378,7000,6998,6900,6500,7000,6550,7258,6862,7500,6800,6550,7000,7225,7500,7495,6800,6800,7500,7225,7820,7650,8999,7800,7350,7550,7450,7500,6721,6950,6800,6600,6500,7450,7425,7500,7998,7575,7950,8100,7475,6850,6185,6093,6185,6500,6650,6500,6948,7000,6800,7000,6800,7175,7200,7250,8250,8500,8500,9000,8000,7475,8500,8375,9000,9000,11500,10000,10000,10000,10000,9675,10500,10638,8500,9000,9000,10500,10500,10500,11998,11500,10598,9995,9500,9748,10200,8900,11198,10000,8300,8300,7500,8000,8400,11000,8750,9200
Central Queens,Queens,submarket,1500,1483,1500,1500,1313,1350,1350,1350,1350,1350,1350,1373,1400,1350,1500,1550,1550,1550,1550,1550,1595,1650,1575,1650,1650,1940,1913,1900,1713,1800,1775,1695,1650,1900,1850,1900,1750,1798,1750,1750,1700,1700,1800,1800,1850,1895,1875,1800,1795,1800,1800,1795,1750,1825,1850,1900,1900,1850,1900,1900,1900,1950,1900,1900,1950,2000,2000,2000,2000,2000,2075,2057,2000,2075,2000,2095,2100,2150,2200,2200,2195,2100,2100,2195,2150,2100,2100,2050,2097,2150,2200,2195,2150,2100,2057,2099,2050,2045,2100,2100,2100,2100,2200,2250,2200,2125,2095,2050,2099,2100,2150,2195,2195,2249,2275,2250,2200,2100,2150,2150,2150,2199,2200,2200,2200,2200,2200,2167,2100,2050,2025,2000,2000,2000,2000,2000,2100,2100,2150,2100,2150,2175,2200,2250,2200,2200,2200,2300,2395,2495,2500,2550,2550,2500,2500,2495,2475,2500,2500,2550,2600,2700,2700,2754,2800,2750,2700,2750,2700,2790,2800,2800,2850,2875,2950,2980,2900,2800,2750,2758,2800,2800
Chelsea,Manhattan,neighborhood,3200,3400,3245,3200,3200,3395,3400,3450,3625,3600,3500,3320,3295,3295,3400,3450,3450,3480,3500,3473,3600,3800,3650,3500,3400,3500,3600,3600,3795,3800,3600,3600,3700,3500,3695,3715,3650,3700,3600,3730,3743,3695,3695,3750,3892,3876,3650,3795,3695,3695,3745,3725,3750,3745,3750,3750,3795,3735,3750,3800,3795,3754,3800,3950,3963,3995,4075,4025,4000,4100,3875,3895,3860,3850,3871,3950,4113,4195,4050,3995,3995,4000,3995,3905,3895,3950,3913,3908,3950,3900,3900,3800,3845,3940,3950,3916,3945,4000,4000,3995,3995,4003,3995,4080,4149,4026,4000,4036,4008,4250,4150,4250,4295,4476,4403,4368,4329,4327,4298,4230,4100,4176,4200,3993,3850,3850,3650,3550,3445,3372,3300,3400,3400,3500,3600,3500,3695,3900,4196,4495,4506,4700,4795,4650,4859,4922,4974,5195,5147,5148,5200,5195,5300,5450,5200,5150,5220,5395,5195,5200,5500,5495,5488,5363,5302,5100,5095,5250,5334,5495,5500,5195,5395,5536,5500,5488,5459,5400,5380,5469,5426,5500
Chinatown,Manhattan,neighborhood,2900,2900,2550,2200,2200,2248,2500,2700,2875,2300,2900,3166,3166,2900,2800,2300,2400,2900,2500,2450,3150,2900,2425,2475,3150,2575,2523,2550,2500,2450,2425,2900,2698,2600,2550,2378,2750,2775,2675,2800,3100,2700,2600,2600,3150,3000,2650,2600,2850,2500,2500,2600,2800,2948,2800,2800,2850,3150,3075,3000,2700,3073,2900,2900,2850,2850,2750,2900,2850,2700,2750,3275,2650,2650,2675,2900,2690,2800,2800,2850,2923,2923,2975,3000,2950,2800,2725,2875,3000,2800,2898,2773,2700,2648,2725,2800,2673,2700,2695,2600,2900,2900,2700,2800,2873,2550,2799,2800,2700,2800,2563,2700,2700,3000,3000,2600,2500,3000,2950,3200,3275,2695,3300,3000,2985,2935,2796,2700,2433,2400,2400,2350,2400,2395,2300,2498,2450,2450,2495,2500,2800,3150,2675,2473,2900,3000,3448,3195,3200,3573,2950,3000,3000,3295,2995,2885,2750,3095,3198,3250,3345,3200,3295,3098,3175,3250,3098,3098,2995,2600,3075,3750,3800,3295,3450,3150,3275,3400,3195,3150,3069,3000
City Island,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton Hill,Brooklyn,neighborhood,2085,1950,1975,2000,2100,1900,1875,2075,2300,2269,2100,2059,2177,2269,2300,2350,2350,2300,2250,2304,2500,2535,2495,2600,2650,2750,2698,2763,2550,2688,2700,3000,3000,3000,2975,2850,2500,2650,2595,2625,2600,2595,2500,2500,2500,2525,2700,2750,2700,2595,2600,2650,2745,2700,2735,2800,2750,2700,2600,2700,2700,2750,2760,2750,2792,2650,2700,2750,2850,2750,2700,2665,2699,2700,2682,2652,2700,2700,2700,2700,2753,2797,2750,2606,2600,2650,2650,2600,2750,2700,2700,2600,2599,2795,2725,2735,2700,2600,2650,2784,2879,2880,2850,2800,2750,2700,2700,2769,2950,2950,3000,2980,3157,3254,3067,3100,2950,3050,3000,2973,2954,3100,2995,2995,2990,2978,2900,2800,2700,2650,2613,2600,2600,2595,2595,2600,2650,2700,2850,3109,3200,3000,2900,3100,3513,3513,3348,3427,3607,3748,3800,4075,3998,3985,3995,3800,3788,3800,3925,3875,3935,3988,4028,4100,4078,3900,3850,3844,3850,3800,3791,3825,3827,3875,3950,3950,3800,3800,3900,3950,3790,3900
Co-op City,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobble Hill,Brooklyn,neighborhood,1900,2350,2225,2340,2400,2340,2450,2525,2600,2600,2625,2600,2500,2450,2500,2900,2870,2750,2750,3100,3235,3050,3150,3200,3000,2900,3100,2850,2798,2590,2950,3150,2975,2795,3050,3150,3000,2875,2850,3100,3100,3700,3400,3200,3100,3050,2923,2800,2950,3050,2900,2800,3100,3500,3330,3300,3100,3100,3100,3175,3100,2973,2995,3150,3150,3000,3200,3325,3300,3275,3200,3200,3210,3125,3150,3150,3275,3250,3100,3250,3050,3150,2995,2850,2756,2815,2750,2688,3000,2973,3000,3300,3200,3200,3075,3050,3100,2950,2950,3100,3176,3176,3325,3425,3400,3100,3198,3200,3200,3225,3200,3195,3170,3300,3662,3800,3650,3575,3400,3640,3125,3500,3425,3500,3350,3200,3000,2933,2888,2800,2800,2850,2800,2725,2850,2600,2800,2750,2950,3250,3350,3350,3225,3598,3250,4150,3550,3848,5175,5000,4850,4650,4725,4350,4350,4450,4180,4425,4500,4250,4500,4500,4750,4975,5695,4500,4200,4198,4198,4000,4500,4300,3825,3975,4500,4500,4100,4475,4500,4250,4000,4375
College Point,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2300,,,,,2200,2200,2100,,,,,,,,2100,2175,,,,2125,2000,2125,2150,2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,,2050,,2300,2000,2400,2400,2600,2700,2350,2375,2425,2500,,2200,2250,2350,2500,2100,,2850,2800,2973,3050,2525,2400,2700,,,,,2575,3225,3200,2600,2400
Columbia St Waterfront District,Brooklyn,neighborhood,2000,1950,,,2550,2500,2500,2450,2700,2650,2200,1775,2000,2200,2200,2200,2200,,2400,2525,,2600,2950,,2350,2400,2600,,2775,2500,2550,2500,2500,3000,2925,3300,2600,2625,3150,3075,3150,3350,3500,3500,2600,2500,2725,2500,2750,2700,2775,2700,2800,2800,2800,2325,2125,2298,2800,2800,2800,2750,2750,2750,2700,2500,2588,2500,2750,2775,2900,2750,2850,2898,3000,2900,3025,2925,3050,2895,2950,2848,2895,2700,2700,2625,2663,2500,2550,2699,2700,2700,2750,2800,2700,2700,2700,2700,2400,2500,2900,3100,3050,2963,2963,2800,2800,2700,2800,2850,2500,2600,3050,2900,3000,3200,3000,3000,3000,2563,2900,2700,2650,3000,2700,2688,3000,2917,2800,2650,2515,2500,2500,2530,2600,2500,2300,2500,2575,2650,2750,2700,2895,3150,2800,3125,3000,3600,3550,4200,3400,3500,4100,3850,4200,3575,4225,3498,3498,3550,4075,4400,4598,4200,3900,3700,3100,3200,4600,4200,3625,3750,3500,3900,4200,3900,3250,3700,3600,3600,3100,3700
Concourse,Bronx,neighborhood,,,,1373,,,,,,1425,,1438,1313,,1500,,,1350,,1350,1250,1100,1199,1100,1300,1325,1300,1300,1350,1400,1475,1375,1300,1375,1350,1399,1400,1400,1400,1400,1500,1500,1645,1500,1495,1425,1388,1425,1450,1400,1491,1425,1450,1300,1463,1500,1500,1500,1500,1350,1295,1375,1475,1425,1450,1600,1525,1500,1600,1600,1550,1450,1500,1500,1495,1550,1550,1600,1650,1600,1650,1600,1525,1550,1510,1500,1674,1675,1625,1550,1579,1650,1722,1797,1650,1600,1595,1850,1700,1850,1875,1774,1750,1743,1650,1700,1675,1800,1825,1695,1700,1800,1800,1695,1750,1700,1700,1698,1700,1803,1800,1832,1897,1924,1895,1785,1700,1750,1749,1700,1675,1650,1825,1900,1800,1938,1948,1873,1950,1900,1833,1925,1995,1899,1795,1825,1800,1812,1898,1900,1898,1981,1991,2173,1950,2050,1925,1963,1975,2113,2125,1998,1998,2000,2000,2000,2007,2079,2250,2450,2295,2374,2541,2500,2541,2500,2398,2495,2495,2395,2395,2565
Coney Island,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1550,,1800,1900,1775,1980,1850,1700,1700,1487,1485,1550,1475,1650,1600,1700,1775,1675,1675,1748,1675,2225,2075,2050,2125,2125,1999,1999,1950,1950,1988,2000,2100,2000,1995,1998,2050,2038,2200,2078,2150,2113,2113,1971,2131,2200,2200,2200,2198,2200,2300,2300,2175,2200,2100,2100,2100,1900,2150,2200,2197,2199,2075,2150,2075,2225,2250,2250,2250,2225,2250,2300,2225,2225,2238,2100,2138,2075,2194,2250,2313,2250,2199,2150,2175,2300,2390,2475,2365,2238,2250,2250,2250,2315,2330,2303,2251,2251,2239,2119,2119,2100,2150,2119,2119,2199,2157,2263,2350,2100,2250,2250,2300,2299,2134,2344,2450,2452,2938,2968,3350,3036,2579,2469,2478,2379,2613,2775,2823,2995,2995,3240,3240,3000,3000,3051,2788,3219,3260,3138,3145,3145,3130,3135,3245,3358,3390,3330
Corona,Queens,neighborhood,1100,1098,1095,1095,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,950,950,950,950,950,950,950,950,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1497,1500,1500,1410,1463,1773,1550,1550,1513,1573,1600,1650,1650,1650,1650,1663,1695,1650,1695,1795,1863,1695,1775,1770,1770,1713,1938,1948,1983,1870,1850,1850,1765,1803,1840,1890,1895,1975,1825,1785,1825,1903,1950,1885,1828,1805,1735,1725,2107,2350,2405,1995,1955,2168,2115,2373,2243,2025,2275,2305,2350,2250,2169,1836,1897,1923,2000,2077,1909,1875,1875,1886,1875,1916,1904,1821,1811,1814,1817,1832,1939,2136,1886,1799,1827,1924,1950,1939,1799,1920,1995,2050,2053,1997,2070,2229,2370,2491,2411,2500,2499,2362,2400,2542,2654,2551,2733,2748,2597,2600,2752,2659,2729,2767,2700,2525,2400,2808,3277,3218,3064,2794,2810,2878,3160,2680,,2875,2705
Country Club,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotona Park East,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2050,1800,,2324,1800,,2100,2100,,,,1931,1775,2000,2223,2245,2200,,2050,,,,,,,,,,,2547,2499,,,2200,1896,1893,2200,2450,2425,2450,2300,2500,2350,2182,2400,2350,2350,2450,2350,,,,2425,,,2500,2325,,1838,,,1750,1687,,,,,2400,2537,2660,2375,2613,
Crown Heights,Brooklyn,neighborhood,2000,2125,2150,2050,1900,1800,1500,1500,1500,1525,1550,1575,1600,1600,1550,1600,1693,1850,1850,1650,1825,1700,1700,1675,1895,2000,1900,1988,1900,1850,1900,1935,1929,1900,1922,1875,1925,2000,1997,2080,2100,2100,2100,2200,2291,2300,2200,2077,2100,2000,2200,2200,2400,2399,2395,2300,2200,2200,2200,2150,2200,2295,2250,2295,2300,2300,2400,2400,2300,2300,2225,2300,2300,2350,2400,2400,2400,2450,2491,2499,2400,2400,2300,2291,2290,2300,2300,2300,2300,2399,2450,2500,2451,2400,2390,2350,2300,2300,2399,2400,2400,2475,2695,2649,2550,2400,2400,2400,2400,2399,2400,2495,2500,2500,2590,2600,2600,2590,2500,2500,2550,2640,2550,2500,2499,2450,2499,2500,2400,2300,2250,2275,2290,2300,2283,2300,2333,2400,2450,2500,2500,2500,2534,2550,2600,2700,2750,2750,2995,3099,3200,3250,3000,3000,2995,2950,3063,3099,3000,3100,3150,3150,3200,3250,3100,3000,2999,3000,3000,3000,3000,3190,3300,3300,3295,3250,3300,3130,3200,3175,3150,3200
Dumbo,Brooklyn,neighborhood,3275,3200,2800,2875,2800,2950,3400,3825,4200,4150,4250,4200,4100,3950,3550,3650,3475,4000,4150,4000,4000,4000,4000,3600,4163,4163,4200,3500,3650,3688,4100,4300,4300,4300,4350,4100,4000,3500,3625,4175,4000,3775,3750,3925,3850,3650,3750,3750,4000,3875,3988,4000,4100,4150,4150,4227,4204,4275,4204,4100,3891,3935,4375,3925,3900,4100,4140,4250,4498,4300,4480,4500,4250,4087,4100,4275,4900,4700,4700,4362,4362,4500,4650,4377,4495,4750,4559,4450,4495,4435,4500,4225,4495,4355,4500,4429,4200,4137,4163,3900,4240,4500,4200,4523,4075,4650,4962,4973,4532,4315,4607,4495,4423,4525,4875,4957,4750,4500,4773,4950,4950,5070,4795,4500,4500,4498,4498,4285,4500,4495,4495,4095,4000,3900,3900,4173,4150,4250,4500,4595,4598,4648,4745,4825,4660,4870,5125,5345,5328,5470,6445,5950,5950,5500,5648,5500,5690,5500,5395,5692,6095,5973,6195,5995,5995,5867,5900,5800,5328,5795,5795,5750,5750,5694,5698,6100,6150,6100,5850,5595,6098,5395
Ditmas Park,Brooklyn,neighborhood,1600,1850,1850,1500,,,2100,3625,,,1638,,1595,1573,1600,1550,1600,1725,1750,1675,1575,1650,1575,1575,1600,1600,1700,1750,1600,1598,1750,1750,1725,1700,1600,1700,1700,1600,1575,1650,2198,1700,1975,1700,1775,1550,1600,1800,1750,1738,1625,1763,1850,1873,1900,1900,1775,1850,1663,1800,1850,1850,1850,1850,1888,2025,2100,1995,1995,2050,2000,2000,1950,1900,1900,1900,2000,1999,1999,1995,1975,1938,1900,1900,1925,1999,1997,1999,2000,2000,1996,1999,2195,2175,1899,1995,1999,2195,2100,2000,2000,2095,2400,2400,2097,2000,1995,2198,2250,2215,2175,2215,2294,2250,2250,2200,2287,2200,2307,2307,2200,2200,2400,2298,2200,2200,2200,2100,2095,1975,1900,1899,1900,1913,1950,1949,2000,2000,1950,2199,2150,2250,2200,2125,2000,2200,2268,2187,2300,2485,2450,2400,2500,2408,2450,2550,2450,2425,2500,2473,2606,2500,2400,2500,2460,2699,2700,2650,2575,2550,2535,2660,2599,2643,2675,2575,2495,2559,2500,2500,2505,2450
Douglaston,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3925,1950,1850,2200,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2560,,3363,,,,,,,,,,,,,,,
Downtown Brooklyn,Brooklyn,neighborhood,2247,2227,2191,2250,2400,2472,2550,2569,2530,2505,2551,2500,2600,2498,2450,2495,2301,2424,2500,2520,2500,2500,2625,2698,2500,2443,2511,2452,2650,2800,2800,2835,2813,2800,2923,3000,3000,2925,2915,2900,2898,2880,2900,3000,2883,2905,2850,2900,2900,3000,2950,2895,2900,2948,3000,3095,3100,3170,3200,3165,3181,3225,3255,3228,3240,3205,3184,3184,3195,3185,3108,3115,3123,3100,3156,3158,3138,3175,3177,3162,3078,3093,3111,3067,3051,3121,3050,3121,3116,3143,3195,3233,3181,3195,3085,3150,3190,3275,3378,3460,3395,3405,3369,3400,3367,3350,3274,3387,3348,3305,3369,3485,3477,3515,3619,3646,3600,3500,3400,3371,3482,3440,3333,3195,3246,3250,3200,3071,2900,2900,2950,3000,3014,3000,3100,3295,3400,3614,3650,3900,3950,3892,3898,3955,4167,4190,4126,4126,4131,4150,4232,4300,4250,4199,4218,4200,4200,4159,4165,4300,4300,4249,4195,4197,4129,4200,4150,4250,4238,4230,4225,4250,4300,4395,4500,4500,4524,4487,4491,4500,4631,4500
